Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Lenght,TargetWordSyl Lenght,PositionSource, PositionTarget,Simple PositionSource,Simple PositionTarget,Previous Source,Next Source,Previous Target,Next Target,Process,TargetOrthography,Translation,Reference,Notes
Kannur,pɾetə,pɾetu,pɾe'tə,ˈpɾetu,pɾe,pɾe,2,2,1,1,Initial,Initial,0,tə,0,tu,,preto,black,Clements2012[37-41],
Kannur,pɾetə,pɾetu,pɾe'tə,ˈpɾetu,tə,tu,2,2,2,2,Final,Medial,pɾe,2,pɾe,2,,preto,black,Clements2012[37-41],
Kannur,sangi,sɐ̃ɡɨ,san'gi,ˈsɐ̃ɡɨ,san,sɐ̃,2,2,1,1,Initial,Final,0,gi,0,ɡɨ,,sangue,blood,Clements2012[37-41],
Kannur,sangi,sɐ̃ɡɨ,san'gi,ˈsɐ̃ɡɨ,gi,ɡɨ,2,2,2,2,Final,Initial,san,2,sɐ̃,2,,sangue,blood,Clements2012[37-41],
Kannur,supɾa,supɾaɾ,su'pɾa,suˈpɾaɾ,su,su,2,2,1,1,Initial,Final,0,pɾa,0,pɾaɾ,Apocope,soprar,blow,Clements2012[37-41],
Kannur,supɾa,supɾaɾ,su'pɾa,suˈpɾaɾ,pɾa,pɾaɾ,2,2,2,2,Final,Initial,su,2,su,2,Apocope,soprar,blow,Clements2012[37-41],
Kannur,osə,osu,o'sə,ˈosu,o,o,2,2,1,1,Initial,Final,0,sə,0,su,,osso,bone,Clements2012[37-41],
Kannur,osə,osu,o'sə,ˈosu,sə,su,2,2,2,2,Final,#N/A,o,2,o,2,,osso,bone,Clements2012[37-41],
Kannur,petə,pejtu,pe'tə,ˈpejtu,Pe,pej,2,2,1,1,Initial,#N/A,0,tə,0,tu,,peito,breast,Clements2012[37-41],
Kannur,petə,pejtu,pe'tə,ˈpejtu,tə,tu,2,2,2,2,Final,#N/A,Pe,2,pej,2,,peito,breast,Clements2012[37-41],
Kannur,kima,kejmaɾ,ki'ma,kejˈmaɾ,ki,kej,2,2,1,1,Initial,#N/A,0,ma,0,maɾ,,queimar,burn,Clements2012[37-41],
Kannur,kima,kejmaɾ,ki'ma,kejˈmaɾ,ma,maɾ,2,2,2,2,Final,#N/A,ki,2,kej,2,,queimar,burn,Clements2012[37-41],
Kannur,kɾijansə,kɾiɐ̃sɐ,kɾij'an'sə,kɾiˈɐ̃’sɐ,kɾij,kɾi,3,3,1,1,Initial,Initial,0,an,0,ɐ̃,,criança,child,Clements2012[37-41],
Kannur,kɾijansə,kɾiɐ̃sɐ,kɾij'an'sə,kɾiˈɐ̃’sɐ,an,ɐ̃,3,3,2,2,Medial,Medial,kɾij,sə,kɾi,sɐ,,criança,child,Clements2012[37-41],
Kannur,kɾijansə,kɾiɐ̃sɐ,kɾij'an'sə,kɾiˈɐ̃’sɐ,sə,sɐ,3,3,3,3,Final,Final,an,3,ɐ̃,3,,criança,child,Clements2012[37-41],
Kannur,uɲə,uɲɐ,u'ɲə,ˈuɲɐ,u,u,2,2,1,1,Initial,Initial,0,ɲə,0,ɲɐ,,unha,claw,Clements2012[37-41],
Kannur,uɲə,uɲɐ,u'ɲə,ˈuɲɐ,ɲə,ɲɐ,2,2,2,2,Final,Medial,u,2,u,2,,unha,claw,Clements2012[37-41],
Kannur,mekham,nuvɐ̃j,mek'ham,ˈnuvɐ̃j,mek,nu,2,2,1,1,Initial,Final,0,ham,0,vɐ̃j,,nuvem,cloud,Clements2012[37-41],Malayam Origin
Kannur,mekham,nuvɐ̃j,mek'ham,ˈnuvɐ̃j,ham,vɐ̃j,2,2,2,2,Final,Initial,mek,2,nu,2,,nuvem,cloud,Clements2012[37-41],Malayam Origin
Kannur,fɾiw,fɾiu,fɾiw,ˈfɾiu,friw,fri,1,2,1,1,Final,Final,0,,0,u,,frio,cold,Clements2012[37-41],
Kannur,fɾiw,fɾiu,fɾiw,ˈfɾiu,,u,1,2,,2,-,Initial,friw,-,fri,2,Apocope,frio,cold,Clements2012[37-41],
Kannur,ʋi,viɾ,ʋi,ˈviɾ,ʋi,vi,1,2,1,1,Final,Final,0,,0,ɾ,Apocope,vir,come,Clements2012[37-41],
Kannur,ʋi,viɾ,ʋi,ˈviɾ,,ɾ,1,2,,2,#N/A,Initial,ʋi,,vi,2,,vir,come,Clements2012[37-41],
Kannur,konte,kõtaɾ,kon'te,kõ'taɾ,kon,kõ,2,2,1,1,Initial,Final,0,te,0,taɾ,Apocope,contar,count,Clements2012[37-41],
Kannur,konte,kõtaɾ,kon'te,kõ'taɾ,te,taɾ,2,2,2,2,Final,Initial,kon,2,kõ,2,Apocope,contar,count,Clements2012[37-41],
Kannur,kɔɾta,kuɾtaɾ,kɔɾ'ta,kuɾˈtaɾ,kuɾ,kuɾ,2,2,1,1,Initial,Final,0,Ta,0,taɾ,Apocope,cortar,cut,Clements2012[37-41],
Kannur,kɔɾta,kuɾtaɾ,kɔɾ'ta,kuɾˈtaɾ,Ta,taɾ,2,2,2,2,Final,Initial,kuɾ,2,kuɾ,2,Apocope,cortar,cut,Clements2012[37-41],
Kannur,dijə,diɐ,di'jə,ˈdiɐ,di,di,2,2,1,1,Initial,Final,0,jə,0,ɐ,,dia,day,Clements2012[37-41],
Kannur,dijə,diɐ,di'jə,ˈdiɐ,jə,ɐ,2,2,2,2,Final,Initial,di,2,di,2,,dia,day,Clements2012[37-41],
Kannur,muʀe,muʁeɾ,mu'ʀe,muˈʁeɾ,mu,ʁeɾ,2,2,1,1,Initial,Final,0,ʀe,0,ʁeɾ,Apocope,morrer,die,Clements2012[37-41],
Kannur,muʀe,muʁeɾ,mu'ʀe,muˈʁeɾ,ʀe,ʁeɾ,2,2,2,2,Final,Initial,mu,2,ʁeɾ,2,Apocope,morrer,die,Clements2012[37-41],
Kannur,gəʋətə,ʒgɾɐvɐtaɾ,gə'ʋə'tə,ʒ'gɾɐ'vɐˈtaɾ,,ʒ,3,4,,1,#N/A,Medial,0,gə,0,gɾɐ,Apheresis + Apocope,esgravatar,dig,Clements2012[37-41],
Kannur,gəʋətə,ʒgɾɐvɐtaɾ,gə'ʋə'tə,ʒ'gɾɐ'vɐˈtaɾ,gə,gɾɐ,3,4,2,2,Medial,Final,,ʋə,ʒ,vɐ,Apheresis + Apocope,esgravatar,dig,Clements2012[37-41],
Kannur,gəʋətə,ʒgɾɐvɐtaɾ,gə'ʋə'tə,ʒ'gɾɐ'vɐˈtaɾ,ʋə,vɐ,3,4,3,3,Final,Initial,gə,tə,gɾɐ,taɾ,,esgravatar,dig,Clements2012[37-41],
Kannur,gəʋətə,ʒgɾɐvɐtaɾ,gə'ʋə'tə,ʒ'gɾɐ'vɐˈtaɾ,tə,taɾ,3,4,4,4,Medial,Medial,ʋə,4,vɐ,4,,esgravatar,dig,Clements2012[37-41],
Kannur,sud̠ʒi,suʒu,su'd̠ʒi,ˈsu'ʒu,su,su,2,2,1,1,Initial,Final,0,d̠ʒi,0,ʒu,,sujo,dirty,Clements2012[37-41],
Kannur,sud̠ʒi,suʒu,su'd̠ʒi,ˈsu'ʒu,d̠ʒi,ʒu,2,2,2,2,Final,Final,su,2,su,2,,sujo,dirty,Clements2012[37-41],
Kannur,kat̠ʃoɾ,kɐʃoʀu,ka't̠ʃoɾ,kɐˈʃo'ʀu,ka,kɐ,2,3,1,1,Initial,Initial,0,,0,ʃo,Apocope,cachorro,dog,Clements2012[37-41],
Kannur,kat̠ʃoɾ,kɐʃoʀu,ka't̠ʃoɾ,kɐˈʃo'ʀu,,ʃo,2,3,,2,-,Final,ka,t̠ʃoɾ,kɐ,ʀu,Apocope,cachorro,dog,Clements2012[37-41],
Kannur,kat̠ʃoɾ,kɐʃoʀu,ka't̠ʃoɾ,kɐˈʃo'ʀu,t̠ʃoɾ,ʀu,2,3,2,3,Final,Initial,,2,ʃo,3,Apocope,cachorro,dog,Clements2012[37-41],
Kannur,bebe,bɨbeɾ,be'be,bɨˈbeɾ,be,bɨ,2,2,1,1,Initial,Final,0,be,0,beɾ,Apocope,beber,drink (v.),Clements2012[37-41],
Kannur,bebe,bɨbeɾ,be'be,bɨˈbeɾ,be,beɾ,2,2,2,2,Final,Initial,be,2,bɨ,2,Apocope,beber,drink (v.),Clements2012[37-41],
Kannur,sækə,seku,sæ'kə,ˈseku,sæ,se,2,2,1,1,Initial,Final,0,kə,0,ku,,seco,dry,Clements2012[37-41],
Kannur,sækə,seku,sæ'kə,ˈseku,kə,ku,2,2,2,2,Final,Initial,sæ,2,se,2,,seco,dry,Clements2012[37-41],
Kannur,agudə nu tɛ̃,,a'gu'də 'nu 'tɛ̃,,a,,5,,1,,Initial,Final,0,gu,0,,,,dull,Clements2012[37-41],
Kannur,agudə nu tɛ̃,,a'gu'də 'nu 'tɛ̃,,gu,,5,,2,,Medial,Initial,a,də,,,,,dull,Clements2012[37-41],
Kannur,agudə nu tɛ̃,,a'gu'də 'nu 'tɛ̃,,də,,5,,3,,Medial,Final,gu,nu,,,,,dull,Clements2012[37-41],
Kannur,agudə nu tɛ̃,,a'gu'də 'nu 'tɛ̃,,nu,,5,,4,,Medial,Initial,də,tɛ̃,,,,,dull,Clements2012[37-41],
Kannur,agudə nu tɛ̃,,a'gu'də 'nu 'tɛ̃,,tɛ̃,,5,,5,,Final,Final,nu,5,,,,,dull,Clements2012[37-41],
Kannur,baɾə,vɐʀeɾ,ba'ɾə,vɐˈʀeɾ,ba,vɐ,2,2,1,1,Initial,Initial,0,ɾə,0,ʀeɾ,Apocope,varrer,dust,Clements2012[37-41],
Kannur,baɾə,vɐʀeɾ,ba'ɾə,vɐˈʀeɾ,ɾə,ʀeɾ,2,2,2,2,Final,Final,ba,2,vɐ,,Apocope,varrer,dust,Clements2012[37-41],
Kannur,uʋid,ovidu,u'ʋid,oˈvi'du,u,o,2,3,1,1,Initial,Final,0,,0,vi,Apocope,ouvido,ear,Clements2012[37-41],
Kannur,uʋid,ovidu,u'ʋid,oˈvi'du,,vi,2,3,,2,-,Initial,u,ʋid,o,du,Apocope,ouvido,ear,Clements2012[37-41],
Kannur,uʋid,ovidu,u'ʋid,oˈvi'du,ʋid,du,2,3,2,3,Final,Final,,2,vi,3,Apocope,ouvido,ear,Clements2012[37-41],
Kannur,baɾə,baʁu,ba'ɾə,ˈbaʁu,ba,ba,2,2,1,1,Initial,Initial,0,ʁu,0,ɾə,,barro,earth,Clements2012[37-41],
Kannur,baɾə,baʁu,ba'ɾə,ˈbaʁu,ʁu,ɾə,2,2,2,2,Final,Medial,ba,2,ba,2,,barro,earth,Clements2012[37-41],
Kannur,kumɛ,kumeɾ,ku'mɛ,kuˈmeɾ,ku,ku,2,2,1,1,Initial,Medial,0,mɛ,0,meɾ,Apocope,comer,eat,Clements2012[37-41],
Kannur,kumɛ,kumeɾ,ku'mɛ,kuˈmeɾ,mɛ,meɾ,2,2,2,2,Final,Final,ku,2,ku,2,Apocope,comer,eat,Clements2012[37-41],
Kannur,oʋə,ovu,o'ʋə,ˈovu,o,o,2,2,1,1,Initial,Final,0,ʋə,0,vu,,ovo,egg,Clements2012[37-41],
Kannur,oʋə,ovu,o'ʋə,ˈovu,ʋə,vu,2,2,2,2,Final,Initial,o,2,o,2,,ovo,egg,Clements2012[37-41],
Kannur,oí,oʎu,o'í,ˈoʎu,o,o,2,2,1,1,Initial,Final,0,í,0,ʎu,,olho,eye,Clements2012[37-41],
Kannur,oí,oʎu,o'í,ˈoʎu,í,ʎu,2,2,2,2,Final,Initial,o,2,o,2,,olho,eye,Clements2012[37-41],
Kannur,kaj,kɐiɾ,kaj,kɐˈiɾ,,kɐ,1,2,-,1,-,Medial,0,kaj,0,iɾ,Apocope,cair,fall,Clements2012[37-41],
Kannur,kaj,kɐiɾ,kaj,kɐˈiɾ,kaj,iɾ,1,2,1,2,Final,Final,,1,kɐ,2,Apocope,cair,fall,Clements2012[37-41],
Kannur,lɔnd̠ʒi,lõʒɨ,lɔn'd̠ʒi,ˈlõʒɨ,lɔn,lõ,2,2,1,1,Initial,Initial,0,d̠ʒi,0,ʒɨ,,longe,far,Clements2012[37-41],
Kannur,lɔnd̠ʒi,lõʒɨ,lɔn'd̠ʒi,ˈlõʒɨ,d̠ʒi,ʒɨ,2,2,2,2,Final,Final,lɔn,2,lõ,2,,longe,far,Clements2012[37-41],
Kannur,mantegə,mɐ̃tɐjgɐ,man'te'gə,ˈmɐ̃'tɐjgɐ,man,ˈmɐ̃,3,3,1,1,Initial,Initial,0,te,0,tɐj,,manteiga,ghee,Clements2012[37-41],
Kannur,mantegə,mɐ̃tɐjgɐ,man'te'gə,ˈmɐ̃'tɐjgɐ,te,tɐj,3,3,2,2,Medial,Final,man,gə,ˈmɐ̃,gɐ,,manteiga,ghee,Clements2012[37-41],
Kannur,mantegə,mɐ̃tɐjgɐ,man'te'gə,ˈmɐ̃'tɐjgɐ,gə,gɐ,3,3,3,3,Final,Initial,te,3,tɐj,3,,manteiga,ghee,Clements2012[37-41],
Kannur,azeti,ɐzɐjtɨ,a'ze'ti,ɐˈzɐj'tɨ,a,ɐ,3,3,1,1,Initial,Final,0,ze,0,zɐj,,azeite,oil,Clements2012[37-41],
Kannur,azeti,ɐzɐjtɨ,a'ze'ti,ɐˈzɐj'tɨ,ze,zɐj,3,3,2,2,Medial,Initial,a,ti,ɐ,tɨ,,azeite,oil,Clements2012[37-41],
Kannur,azeti,ɐzɐjtɨ,a'ze'ti,ɐˈzɐj'tɨ,ti,tɨ,3,3,3,3,Final,Final,ze,3,zɐj,3,,azeite,oil,Clements2012[37-41],
Kannur,paj,paj,paj,paj,paj,paj,1,1,1,1,Final,Initial,0,1,0,1,,pai,father,Clements2012[37-41],
Kannur,mɛdə,medu,mɛ'də,ˈmedu,mɛ,me,2,2,1,1,Initial,Final,0,də,0,du,,medo,fear,Clements2012[37-41],
Kannur,mɛdə,medu,mɛ'də,ˈmedu,də,du,2,2,2,2,Final,Initial,mɛ,2,me,2,,medo,fear,Clements2012[37-41],
Kannur,pænə,penɐ,pæ'nə,ˈpenɐ,pæ,Pe,2,2,1,1,Initial,Final,0,nə,0,nɐ,,pena,feather,Clements2012[37-41],
Kannur,pænə,penɐ,pæ'nə,ˈpenɐ,nə,nɐ,2,2,2,2,Final,Initial,pæ,2,Pe,2,,pena,feather,Clements2012[37-41],
Kannur,pok,poku,pok,ˈpoku,,po,1,2,,1,#N/A,Medial,0,pok,0,ku,Apocope,pouco,few,Clements2012[37-41],
Kannur,pok,poku,pok,ˈpoku,pok,ku,1,2,1,2,Final,Final,,1,po,2,Apocope,pouco,few,Clements2012[37-41],
Kannur,pild̠ʒe,ɫutɐ,pil'd̠ʒe,ˈɫutɐ,pil,ɫu,2,2,1,1,Initial,Initial,0,d̠ʒe,0,tɐ,,,fight,Clements2012[37-41],Not portuguese origin
Kannur,pild̠ʒe,ɫutɐ,pil'd̠ʒe,ˈɫutɐ,d̠ʒe,tɐ,2,2,2,2,Final,Initial,pil,2,ɫu,2,,,fight,Clements2012[37-41],Not portuguese origin
Kannur,fogə,foɡu,fo'gə,ˈfoɡu,fo,fo,2,2,1,1,Initial,Final,0,gə,0,gu,,fogo,fire,Clements2012[37-41],
Kannur,fogə,foɡu,fo'gə,ˈfoɡu,gə,gu,2,2,2,2,Final,Initial,fo,2,fo,2,,fogo,fire,Clements2012[37-41],
Kannur,peʃi,pejʃɨ,pe'ʃi,ˈpejʃɨ,Pe,pej,2,2,1,1,Initial,Medial,0,ʃi,0,ʃɨ,Syncope,peixe,fish,Clements2012[37-41],
Kannur,peʃi,pejʃɨ,pe'ʃi,ˈpejʃɨ,ʃi,ʃɨ,2,2,2,2,Final,Final,Pe,2,pej,2,Syncope,peixe,fish,Clements2012[37-41],
Kannur,sinkə,sĩku,sin'kə,ˈsĩku,sin'kə,sĩku,2,2,1,1,Initial,Initial,0,sin'kə,0,sĩku,,cinco,five,Clements2012[37-41],
Kannur,sinkə,sĩku,sin'kə,ˈsĩku,sin'kə,sĩku,2,2,2,2,Final,Final,sin'kə,2,sĩku,2,,cinco,five,Clements2012[37-41],
Kannur,fula,floɾ,fu'la,ˈfloɾ,fu,-,2,1,1,-,Initial,Initial,0,la,0,floɾ,Metathesis,flor,flower,Clements2012[37-41],
Kannur,fula,floɾ,fu'la,ˈfloɾ,la,floɾ,2,1,2,1,Final,Medial,fu,2,-,1,,flor,flower,Clements2012[37-41],
Kannur,agwə,vuaɾ,a'gwə,vuˈaɾ,a,vu,2,2,1,1,Initial,Final,0,gwa,0,aɾ,,voar,fly,Clements2012[37-41],
Kannur,agwə,vuaɾ,a'gwə,vuˈaɾ,gwa,aɾ,2,2,2,2,Final,Initial,a,2,vu,2,,voar,fly,Clements2012[37-41],
Kannur,fog,nɨvuɐjɾu,fog,nɨ'vuˈɐj’ɾu,fog,nɨ,1,4,1,1,Final,Medial,0,,0,vu,,nevoeiro,fog,Clements2012[37-41],English origin
Kannur,fog,nɨvuɐjɾu,fog,nɨ'vuˈɐj’ɾu,,vu,1,4,,2,#N/A,Final,fog,,nɨ,ɐj,,nevoeiro,fog,Clements2012[37-41],English origin
Kannur,fog,nɨvuɐjɾu,fog,nɨ'vuˈɐj’ɾu,,ɐj,1,4,,3,#N/A,Initial,,,vu,ɾu,,nevoeiro,fog,Clements2012[37-41],English origin
Kannur,fog,nɨvuɐjɾu,fog,nɨ'vuˈɐj’ɾu,,ɾu,1,4,,4,#N/A,Final,,,ɐj,4,,nevoeiro,fog,Clements2012[37-41],English origin
Kannur,pɛ,pɛ,pɛ,ˈpɛ,pɛ,pɛ,1,1,1,1,Final,Initial,0,1,0,1,,pé,foot,Clements2012[37-41],
Kannur,katɾə,kwatɾu,ka'tɾə,ˈkwatɾu,ka,kwa,2,2,1,1,Initial,Final,0,tɾə,0,tɾu,Syncope,quatro,four,Clements2012[37-41],
Kannur,katɾə,kwatɾu,ka'tɾə,ˈkwatɾu,tɾə,tɾu,2,2,2,2,Final,Initial,ka,2,kwa,2,Syncope,quatro,four,Clements2012[37-41],
Kannur,fɾiːz,kõʒɨɫaɾ,fɾiːz,kõ'ʒɨˈɫaɾ,fɾi:z,kõ,2,3,1,1,Initial,Final,0,,0,ʒɨ,,,freeze,Clements2012[37-41],English origin
Kannur,fɾiːz,kõʒɨɫaɾ,fɾiːz,kõ'ʒɨˈɫaɾ,,ʒɨ,2,3,2,2,Final,Initial,fɾi:z,,kõ,ɫaɾ,,,freeze,Clements2012[37-41],English origin
Kannur,fɾiːz,kõʒɨɫaɾ,fɾiːz,kõ'ʒɨˈɫaɾ,,ɫaɾ,2,3,,3,#N/A,Final,,,ʒɨ,3,,,freeze,Clements2012[37-41],English origin
Kannur,fɾutɛ,fɾutɐ,fɾu'tɛ,ˈfɾutɐ,fɾu,fɾu,2,2,1,1,Initial,Initial,0,tɛ,0,tɐ,,fruta,fruit,Clements2012[37-41],
Kannur,fɾutɛ,fɾutɐ,fɾu'tɛ,ˈfɾutɐ,tɛ,tɐ,2,2,2,2,Final,Medial,fɾu,2,fɾu,2,,fruta,fruit,Clements2012[37-41],
Kannur,int̠ʃid,ʃɐju,int̠'ʃid,ˈʃɐju,int̠,ʃɐ,2,2,1,1,Initial,Final,0,ʃid,0,ju,,cheio,full,Clements2012[37-41],
Kannur,int̠ʃid,ʃɐju,int̠'ʃid,ˈʃɐju,ʃid,ju,2,2,2,2,Final,Initial,int̠,2,ʃɐ,2,,cheio,full,Clements2012[37-41],
Kannur,da,daɾ,da,ˈdaɾ,da,daɾ,1,2,1,1,Final,Medial,0,1,0,1,Apocope,dar,give,Clements2012[37-41],
Kannur,bɔ̃,bõ,bɔ̃,bõ,bɔ̃,bõ,1,1,1,1,Final,Final,0,1,0,1,,bom,good,Clements2012[37-41],
Kannur,gɾasə,ʁɛɫvɐ,gɾa'sə,ˈʁɛɫvɐ,gɾa,ʁɛɫ,2,2,1,1,Initial,Final,0,sə,0,vɐ,,,grass,Clements2012[37-41],English or Dutch origin
Kannur,gɾasə,ʁɛɫvɐ,gɾa'sə,ˈʁɛɫvɐ,sə,vɐ,2,2,2,2,Final,Initial,gɾa,2,ʁɛɫ,2,,,grass,Clements2012[37-41],English or Dutch origin
Kannur,ʋɛɾdi,veɾdɨ,ʋɛɾ'di,ˈveɾdɨ,ʋɛɾ,veɾ,2,2,1,1,Initial,Final,0,di,0,dɨ,,verde,green,Clements2012[37-41],
Kannur,ʋɛɾdi,veɾdɨ,ʋɛɾ'di,ˈveɾdɨ,di,dɨ,2,2,2,2,Final,Final,ʋɛɾ,2,veɾ,2,,verde,green,Clements2012[37-41],
