Language,SourceWord,TargetWord,SourceWord,TargetWord,SourceWordSyllable,Target word Syllable,TemplateSylSource,TemplateSylTarget,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,6,6,VCCVCV CV CVCV,V CVCV V CVCV,li,ɫɨ,6,6,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,swidə,puɾkɨ,swi'də,puɾ'kɨ,2,2,CVVCV,CVCCV,swi,pur,1,1,,,because,Clements2012[37-41],
Kannur,swidə,puɾkɨ,swi'də,puɾ'kɨ,2,2,CVVCV,CVCCV,də,kɨ,2,2,,,because,Clements2012[37-41],
Kannur,baʀigə,bɐʀigɐ,ba'ʀi'gə,bɐˈʀi'gɐ,3,3,CVCVCV,CVCVCV,ba,bɐ,1,1,,barriga,belly,Clements2012[37-41],
Kannur,baʀigə,bɐʀigɐ,ba'ʀi'gə,bɐˈʀi'gɐ,3,3,CVCVCV,CVCVCV,ʀi,ʀi,2,2,,barriga,belly,Clements2012[37-41],
Kannur,baʀigə,bɐʀigɐ,ba'ʀi'gə,bɐˈʀi'gɐ,3,3,CVCVCV,CVCVCV,gə,gɐ,3,3,,barriga,belly,Clements2012[37-41],
Kannur,gɾandi,ɡɾɐ̃dɨ,gɾan'di,ˈɡɾɐ̃dɨ,2,2,CCVCCV,CCVCV,gɾan,ɡɾɐ̃,1,1,,grande,big,Clements2012[37-41],
Kannur,gɾandi,ɡɾɐ̃dɨ,gɾan'di,ˈɡɾɐ̃dɨ,2,2,CCVCCV,CCVCV,di,dɨ,2,2,,grande,big,Clements2012[37-41],
Kannur,pastɾə,pasɐɾu,pas'tɾə,ˈpa'sɐ’ɾu,2,3,CVCCCV,CVCVCV,pas,pa,1,1,,pássaro,bird,Clements2012[37-41],
Kannur,pastɾə,pasɐɾu,pas'tɾə,ˈpa'sɐ’ɾu,2,3,CVCCCV,CVCVCV,,sɐ,,2,,pássaro,bird,Clements2012[37-41],
Kannur,pastɾə,pasɐɾu,pas'tɾə,ˈpa'sɐ’ɾu,2,3,CVCCCV,CVCVCV,tɾə,ɾu,2,3,,pássaro,bird,Clements2012[37-41],
Kannur,muɾdɛ,muɾdeɾ,muɾ'dɛ,muɾˈdeɾ,2,2,CVCCV,CVCCVC,muɾ,muɾ,1,1,Apocope,morder,bite,Clements2012[37-41],
Kannur,muɾdɛ,muɾdeɾ,muɾ'dɛ,muɾˈdeɾ,2,2,CVCCV,CVCCVC,dɛ,deɾ,2,2,Apocope,morder,bite,Clements2012[37-41],
Kannur,pɾetə,pɾetu,pɾe'tə,ˈpɾetu,2,2,CCVCV,CCVCV,pɾe,pɾe,1,1,,preto,black,Clements2012[37-41],
Kannur,pɾetə,pɾetu,pɾe'tə,ˈpɾetu,2,2,CCVCV,CCVCV,tə,tu,2,2,,preto,black,Clements2012[37-41],
Kannur,sangi,sɐ̃ɡɨ,san'gi,ˈsɐ̃ɡɨ,2,2,CVCCV,CVCV,san,sɐ̃,1,1,,sangue,blood,Clements2012[37-41],
Kannur,sangi,sɐ̃ɡɨ,san'gi,ˈsɐ̃ɡɨ,2,2,CVCCV,CVCV,gi,ɡɨ,2,2,,sangue,blood,Clements2012[37-41],
Kannur,supɾa,supɾaɾ,su'pɾa,suˈpɾaɾ,2,2,CVCCV,CVCCVC,su,su,1,1,Apocope,soprar,blow,Clements2012[37-41],
Kannur,supɾa,supɾaɾ,su'pɾa,suˈpɾaɾ,2,2,CVCCV,CVCCVC,pɾa,pɾaɾ,2,2,Apocope,soprar,blow,Clements2012[37-41],
Kannur,osə,osu,o'sə,ˈosu,2,2,VCV,VCV,o,o,1,1,,osso,bone,Clements2012[37-41],
Kannur,osə,osu,o'sə,ˈosu,2,2,VCV,VCV,sə,su,2,2,,osso,bone,Clements2012[37-41],
Kannur,petə,pejtu,pe'tə,ˈpejtu,2,2,CVCV,CVCCV,Pe,pej,1,1,,peito,breast,Clements2012[37-41],
Kannur,petə,pejtu,pe'tə,ˈpejtu,2,2,CVCV,CVCCV,tə,tu,2,2,,peito,breast,Clements2012[37-41],
Kannur,kima,kejmaɾ,ki'ma,kejˈmaɾ,2,2,CVCV,CVCCVC,ki,kej,1,1,,queimar,burn,Clements2012[37-41],
Kannur,kima,kejmaɾ,ki'ma,kejˈmaɾ,2,2,CVCV,CVCCVC,ma,maɾ,2,2,,queimar,burn,Clements2012[37-41],
Kannur,kɾijansə,kɾiɐ̃sɐ,kɾij'an'sə,kɾiˈɐ̃’sɐ,3,3,CCVCVCCV,CCVVCV,kɾij,kɾi,1,1,,criança,child,Clements2012[37-41],
Kannur,kɾijansə,kɾiɐ̃sɐ,kɾij'an'sə,kɾiˈɐ̃’sɐ,3,3,CCVCVCCV,CCVVCV,an,ɐ̃,2,2,,criança,child,Clements2012[37-41],
Kannur,kɾijansə,kɾiɐ̃sɐ,kɾij'an'sə,kɾiˈɐ̃’sɐ,3,3,CCVCVCCV,CCVVCV,sə,sɐ,3,3,,criança,child,Clements2012[37-41],
Kannur,uɲə,uɲɐ,u'ɲə,ˈuɲɐ,2,2,VCV,VCV,u,u,1,1,,unha,claw,Clements2012[37-41],
Kannur,uɲə,uɲɐ,u'ɲə,ˈuɲɐ,2,2,VCV,VCV,ɲə,ɲɐ,2,2,,unha,claw,Clements2012[37-41],
Kannur,mekham,nuvɐ̃j,mek'ham,ˈnuvɐ̃j,2,2,CVCCVC,CVCVC,mek,nu,1,1,,nuvem,cloud,Clements2012[37-41],Malayam Origin
Kannur,mekham,nuvɐ̃j,mek'ham,ˈnuvɐ̃j,2,2,CVCCVC,CVCVC,ham,vɐ̃j,2,2,,nuvem,cloud,Clements2012[37-41],Malayam Origin
Kannur,fɾiw,fɾiu,fɾiw,ˈfɾiu,1,2,CCVV,CCVV,friw,fri,1,1,,frio,cold,Clements2012[37-41],
Kannur,fɾiw,fɾiu,fɾiw,ˈfɾiu,1,2,CCVV,CCVV,,u,,2,Apocope,frio,cold,Clements2012[37-41],
Kannur,ʋi,viɾ,ʋi,ˈviɾ,1,2,CV,CVC,ʋi,vi,1,1,Apocope,vir,come,Clements2012[37-41],
Kannur,ʋi,viɾ,ʋi,ˈviɾ,1,2,CV,CVC,,ɾ,,2,,vir,come,Clements2012[37-41],
Kannur,konte,kõtaɾ,kon'te,kõ'taɾ,2,2,CVCCV,CṼCVC,kon,kõ,1,1,Apocope,contar,count,Clements2012[37-41],
Kannur,konte,kõtaɾ,kon'te,kõ'taɾ,2,2,CVCCV,CṼCVC,te,taɾ,2,2,Apocope,contar,count,Clements2012[37-41],
Kannur,kɔɾta,kuɾtaɾ,kɔɾ'ta,kuɾˈtaɾ,2,2,CVCCV,CVCCVC,kuɾ,kuɾ,1,1,Apocope,cortar,cut,Clements2012[37-41],
Kannur,kɔɾta,kuɾtaɾ,kɔɾ'ta,kuɾˈtaɾ,2,2,CVCCV,CVCCVC,Ta,taɾ,2,2,Apocope,cortar,cut,Clements2012[37-41],
Kannur,dijə,diɐ,di'jə,ˈdiɐ,2,2,CVCV,CVV,di,di,1,1,,dia,day,Clements2012[37-41],
Kannur,dijə,diɐ,di'jə,ˈdiɐ,2,2,CVCV,CVV,jə,ɐ,2,2,,dia,day,Clements2012[37-41],
Kannur,muʀe,muʁeɾ,mu'ʀe,muˈʁeɾ,2,2,CVCV,CVCVC,mu,ʁeɾ,1,1,Apocope,morrer,die,Clements2012[37-41],
Kannur,muʀe,muʁeɾ,mu'ʀe,muˈʁeɾ,2,2,CVCV,CVCVC,ʀe,ʁeɾ,2,2,Apocope,morrer,die,Clements2012[37-41],
Kannur,gəʋətə,ʒgɾɐvɐtaɾ,gə'ʋə'tə,ʒ'gɾɐ'vɐˈtaɾ,3,4,CVCVCV,CCCVCVCVC,,ʒ,,1,Apheresis + Apocope,esgravatar,dig,Clements2012[37-41],
Kannur,gəʋətə,ʒgɾɐvɐtaɾ,gə'ʋə'tə,ʒ'gɾɐ'vɐˈtaɾ,3,4,CVCVCV,CCCVCVCVC,gə,gɾɐ,2,2,Apheresis + Apocope,esgravatar,dig,Clements2012[37-41],
Kannur,gəʋətə,ʒgɾɐvɐtaɾ,gə'ʋə'tə,ʒ'gɾɐ'vɐˈtaɾ,3,4,CVCVCV,CCCVCVCVC,ʋə,vɐ,3,3,,esgravatar,dig,Clements2012[37-41],
Kannur,gəʋətə,ʒgɾɐvɐtaɾ,gə'ʋə'tə,ʒ'gɾɐ'vɐˈtaɾ,3,4,CVCVCV,CCCVCVCVC,tə,taɾ,4,4,,esgravatar,dig,Clements2012[37-41],
Kannur,sud̠ʒi,suʒu,su'd̠ʒi,ˈsu'ʒu,2,2,CVC̠CV,CVCV,su,su,1,1,,sujo,dirty,Clements2012[37-41],
Kannur,sud̠ʒi,suʒu,su'd̠ʒi,ˈsu'ʒu,2,2,CVC̠CV,CVCV,d̠ʒi,ʒu,2,2,,sujo,dirty,Clements2012[37-41],
Kannur,kat̠ʃoɾ,kɐʃoʀu,ka't̠ʃoɾ,kɐˈʃo'ʀu,2,3,CVC̠VC,CVVCV,ka,kɐ,1,1,Apocope,cachorro,dog,Clements2012[37-41],
Kannur,kat̠ʃoɾ,kɐʃoʀu,ka't̠ʃoɾ,kɐˈʃo'ʀu,2,3,CVC̠VC,CVVCV,,ʃo,,2,Apocope,cachorro,dog,Clements2012[37-41],
Kannur,kat̠ʃoɾ,kɐʃoʀu,ka't̠ʃoɾ,kɐˈʃo'ʀu,2,3,CVC̠VC,CVVCV,t̠ʃoɾ,ʀu,2,3,Apocope,cachorro,dog,Clements2012[37-41],
Kannur,bebe,bɨbeɾ,be'be,bɨˈbeɾ,2,2,CVCV,CVCVC,be,bɨ,1,1,Apocope,beber,drink (v.),Clements2012[37-41],
Kannur,bebe,bɨbeɾ,be'be,bɨˈbeɾ,2,2,CVCV,CVCVC,be,beɾ,2,2,Apocope,beber,drink (v.),Clements2012[37-41],
Kannur,sækə,seku,sæ'kə,ˈseku,2,2,CVCV,CVCV,sæ,se,1,1,,seco,dry,Clements2012[37-41],
Kannur,sækə,seku,sæ'kə,ˈseku,2,2,CVCV,CVCV,kə,ku,2,2,,seco,dry,Clements2012[37-41],
Kannur,agudə nu tɛ̃,,a'gu'də 'nu 'tɛ̃,,5,-,VCVCVCV CṼ,,a,,1,,,,dull,Clements2012[37-41],
Kannur,agudə nu tɛ̃,,a'gu'də 'nu 'tɛ̃,,5,-,VCVCVCV CṼ,,gu,,2,,,,dull,Clements2012[37-41],
Kannur,agudə nu tɛ̃,,a'gu'də 'nu 'tɛ̃,,5,-,VCVCVCV CṼ,,də,,3,,,,dull,Clements2012[37-41],
Kannur,agudə nu tɛ̃,,a'gu'də 'nu 'tɛ̃,,5,-,VCVCVCV CṼ,,nu ,,4,,,,dull,Clements2012[37-41],
Kannur,agudə nu tɛ̃,,a'gu'də 'nu 'tɛ̃,,5,-,VCVCVCV CṼ,,tɛ̃,,5,,,,dull,Clements2012[37-41],
Kannur,baɾə,vɐʀeɾ,ba'ɾə,vɐˈʀeɾ,2,2,CVCV,CVCVC,ba,vɐ,1,1,Apocope,varrer,dust,Clements2012[37-41],
Kannur,baɾə,vɐʀeɾ,ba'ɾə,vɐˈʀeɾ,2,2,CVCV,CVCVC,ɾə,ʀeɾ,2,2,Apocope,varrer,dust,Clements2012[37-41],
Kannur,uʋid,ovidu,u'ʋid,oˈvi'du,2,3,VCVC,VCVCV,u,o,1,1,Apocope,ouvido,ear,Clements2012[37-41],
Kannur,uʋid,ovidu,u'ʋid,oˈvi'du,2,3,VCVC,VCVCV, ,vi,,2,Apocope,ouvido,ear,Clements2012[37-41],
Kannur,uʋid,ovidu,u'ʋid,oˈvi'du,2,3,VCVC,VCVCV,ʋid,du,2,3,Apocope,ouvido,ear,Clements2012[37-41],
Kannur,baɾə,baʁu   ,ba'ɾə,ˈbaʁu   ,2,2,CVCV,CVCV   ,ba,ba,1,1,,barro,earth,Clements2012[37-41],
Kannur,baɾə,baʁu   ,ba'ɾə,ˈbaʁu   ,2,2,CVCV,CVCV   ,ʁu   ,ɾə,2,2,,barro,earth,Clements2012[37-41],
Kannur,kumɛ,kumeɾ,ku'mɛ,kuˈmeɾ,2,2,CVCV,CVCVC,ku,ku,1,1,Apocope,comer,eat,Clements2012[37-41],
Kannur,kumɛ,kumeɾ,ku'mɛ,kuˈmeɾ,2,2,CVCV,CVCVC,mɛ,meɾ,2,2,Apocope,comer,eat,Clements2012[37-41],
Kannur,oʋə,ovu,o'ʋə,ˈovu,2,2,VCV,VCV,o,o,1,1,,ovo,egg,Clements2012[37-41],
Kannur,oʋə,ovu,o'ʋə,ˈovu,2,2,VCV,VCV,ʋə,vu,2,2,,ovo,egg,Clements2012[37-41],
Kannur,oí,oʎu,o'í,ˈoʎu,2,2,VV,VCV,o,o,1,1,,olho,eye,Clements2012[37-41],
Kannur,oí,oʎu,o'í,ˈoʎu,2,2,VV,VCV,í,ʎu,2,2,,olho,eye,Clements2012[37-41],
Kannur,kaj,kɐiɾ,kaj,kɐˈiɾ,1,2,CVC,CVVC,,kɐ,,1,Apocope,cair,fall,Clements2012[37-41],
Kannur,kaj,kɐiɾ,kaj,kɐˈiɾ,1,2,CVC,CVVC,kaj,iɾ,1,2,Apocope,cair,fall,Clements2012[37-41],
Kannur,lɔnd̠ʒi,lõʒɨ,lɔn'd̠ʒi,ˈlõʒɨ,2,2,CVCC̠CV,CṼCV,lɔn,lõ,1,1,,longe,far,Clements2012[37-41],
Kannur,lɔnd̠ʒi,lõʒɨ,lɔn'd̠ʒi,ˈlõʒɨ,2,2,CVCC̠CV,CṼCV,d̠ʒi,ʒɨ,2,2,,longe,far,Clements2012[37-41],
Kannur,mantegə,mɐ̃tɐjgɐ,man'te'gə,ˈmɐ̃'tɐjgɐ,3,3,CVCCVCV,CVCVCCV,man,ˈmɐ̃,1,1,,manteiga,ghee,Clements2012[37-41],
Kannur,mantegə,mɐ̃tɐjgɐ,man'te'gə,ˈmɐ̃'tɐjgɐ,3,3,CVCCVCV,CVCVCCV,te,tɐj,2,2,,manteiga,ghee,Clements2012[37-41],
Kannur,mantegə,mɐ̃tɐjgɐ,man'te'gə,ˈmɐ̃'tɐjgɐ,3,3,CVCCVCV,CVCVCCV,gə,gɐ,3,3,,manteiga,ghee,Clements2012[37-41],
Kannur,azeti,ɐzɐjtɨ,a'ze'ti,ɐˈzɐj'tɨ,3,3,VCVCV,VCVCCV,a,ɐ,1,1,,azeite,oil,Clements2012[37-41],
Kannur,azeti,ɐzɐjtɨ,a'ze'ti,ɐˈzɐj'tɨ,3,3,VCVCV,VCVCCV,ze,zɐj,2,2,,azeite,oil,Clements2012[37-41],
Kannur,azeti,ɐzɐjtɨ,a'ze'ti,ɐˈzɐj'tɨ,3,3,VCVCV,VCVCCV,ti,tɨ,3,3,,azeite,oil,Clements2012[37-41],
Kannur,paj,paj,paj,paj,1,1,CVC,CVC,paj,paj,1,1,,pai,father,Clements2012[37-41],
Kannur,mɛdə,medu ,mɛ'də,ˈmedu ,2,2,CVCV,CVCV ,mɛ,me,1,1,,medo,fear,Clements2012[37-41],
Kannur,mɛdə,medu ,mɛ'də,ˈmedu ,2,2,CVCV,CVCV ,də,du,2,2,,medo,fear,Clements2012[37-41],
Kannur,pænə,penɐ,pæ'nə,ˈpenɐ,2,2,CVCV,CVCV,pæ,Pe,1,1,,pena,feather,Clements2012[37-41],
Kannur,pænə,penɐ,pæ'nə,ˈpenɐ,2,2,CVCV,CVCV,nə,nɐ,2,2,,pena,feather,Clements2012[37-41],
Kannur,pok,poku,pok,ˈpoku,1,2,CVC,CVCV,,po,,1,Apocope,pouco,few,Clements2012[37-41],
Kannur,pok,poku,pok,ˈpoku,1,2,CVC,CVCV,pok,ku,1,2,Apocope,pouco,few,Clements2012[37-41],
Kannur,pild̠ʒe,ɫutɐ,pil'd̠ʒe,ˈɫutɐ,2,2,CVCC̠CV,CVCV,pil,ɫu,1,1,,,fight,Clements2012[37-41],Not portuguese origin
Kannur,pild̠ʒe,ɫutɐ,pil'd̠ʒe,ˈɫutɐ,2,2,CVCC̠CV,CVCV,d̠ʒe,tɐ,2,2,,,fight,Clements2012[37-41],Not portuguese origin
Kannur,fogə,foɡu,fo'gə,ˈfoɡu,2,2,CVCV,CVCV,fo,fo,1,1,,fogo,fire,Clements2012[37-41],
Kannur,fogə,foɡu,fo'gə,ˈfoɡu,2,2,CVCV,CVCV,gə,gu,2,2,,fogo,fire,Clements2012[37-41],
Kannur,peʃi,pejʃɨ,pe'ʃi,ˈpejʃɨ,2,2,CVV,CVCV,Pe,pej,1,1,Syncope,peixe,fish,Clements2012[37-41],
Kannur,peʃi,pejʃɨ,pe'ʃi,ˈpejʃɨ,2,2,CVV,CVCV,ʃi,ʃɨ,2,2,Syncope,peixe,fish,Clements2012[37-41],
Kannur,sinkə,sĩku,sin'kə,ˈsĩku,2,2,CVCCV,CVCV,sin'kə,sĩku,1,1,,cinco,five,Clements2012[37-41],
Kannur,sinkə,sĩku,sin'kə,ˈsĩku,2,2,CVCCV,CVCV,sin'kə,sĩku,2,2,,cinco,five,Clements2012[37-41],
Kannur,fula,floɾ,fu'la,ˈfloɾ,2,1,CVCV,CCVC,fu,,1,,Metathesis,flor,flower,Clements2012[37-41],
Kannur,fula,floɾ,fu'la,ˈfloɾ,2,1,CVCV,CCVC,la,floɾ,2,1,,flor,flower,Clements2012[37-41],
Kannur,agwə,vuaɾ,a'gwə,vuˈaɾ,2,2,VCVV,CVVC,a,vu,1,1,,voar,fly,Clements2012[37-41],
Kannur,agwə,vuaɾ,a'gwə,vuˈaɾ,2,2,VCVV,CVVC,gwa,aɾ,2,2,,voar,fly,Clements2012[37-41],
Kannur,fog,nɨvuɐjɾu,fog,nɨ'vuˈɐj’ɾu,1,4,CVC,CVCVVCCV,fog,nɨ,1,1,,nevoeiro,fog,Clements2012[37-41],English origin
Kannur,fog,nɨvuɐjɾu,fog,nɨ'vuˈɐj’ɾu,1,4,CVC,CVCVVCCV,,vu,,2,,nevoeiro,fog,Clements2012[37-41],English origin
Kannur,fog,nɨvuɐjɾu,fog,nɨ'vuˈɐj’ɾu,1,4,CVC,CVCVVCCV,,ɐj,,3,,nevoeiro,fog,Clements2012[37-41],English origin
Kannur,fog,nɨvuɐjɾu,fog,nɨ'vuˈɐj’ɾu,1,4,CVC,CVCVVCCV,,ɾu,,4,,nevoeiro,fog,Clements2012[37-41],English origin
Kannur,pɛ,pɛ ,pɛ,ˈpɛ ,1,1,CV,CV ,pɛ,pɛ,1,1,,pé,foot,Clements2012[37-41],
Kannur,katɾə,kwatɾu ,ka'tɾə,ˈkwatɾu ,2,2,CVCCV,CVVCCV ,ka,kwa,1,1,Syncope,quatro,four,Clements2012[37-41],
Kannur,katɾə,kwatɾu ,ka'tɾə,ˈkwatɾu ,2,2,CVCCV,CVVCCV ,tɾə,tɾu ,2,2,Syncope,quatro,four,Clements2012[37-41],
Kannur,fɾiːz,kõʒɨɫaɾ ,fɾiːz,kõ'ʒɨˈɫaɾ ,2,3,CCVːC,CṼCVCV,fɾi:z,kõ,1,1,,,freeze,Clements2012[37-41],English origin
Kannur,fɾiːz,kõʒɨɫaɾ ,fɾiːz,kõ'ʒɨˈɫaɾ ,2,3,CCVːC,CṼCVCV,,ʒɨ,2,2,,,freeze,Clements2012[37-41],English origin
Kannur,fɾiːz,kõʒɨɫaɾ ,fɾiːz,kõ'ʒɨˈɫaɾ ,2,3,CCVːC,CṼCVCV,,ɫaɾ ,,3,,,freeze,Clements2012[37-41],English origin
Kannur,fɾutɛ,fɾutɐ,fɾu'tɛ,ˈfɾutɐ,2,2,CCVCV,CCVCV,fɾu,fɾu,1,1,,fruta,fruit,Clements2012[37-41],
Kannur,fɾutɛ,fɾutɐ,fɾu'tɛ,ˈfɾutɐ,2,2,CCVCV,CCVCV,tɛ,tɐ,2,2,,fruta,fruit,Clements2012[37-41],
Kannur,int̠ʃid,ʃɐju,int̠'ʃid,ˈʃɐju,2,2,VCC̠VC,VCV,int̠,ʃɐ,1,1,,cheio,full,Clements2012[37-41],
Kannur,int̠ʃid,ʃɐju,int̠'ʃid,ˈʃɐju,2,2,VCC̠VC,VCV,ʃid,ju,2,2,,cheio,full,Clements2012[37-41],
Kannur,da,daɾ,da,ˈdaɾ,1,2,CV,CVC,da,daɾ,1,1,Apocope,dar,give,Clements2012[37-41],
Kannur,bɔ̃,bõ ,bɔ̃,bõ ,1,1,CṼ,CṼ ,bɔ̃,bõ ,1,1,,bom,good,Clements2012[37-41],
Kannur,gɾasə,ʁɛɫvɐ,gɾa'sə,ˈʁɛɫvɐ,2,2,CCVCV,CVCCV,gɾa,ʁɛɫ,1,1,,,grass,Clements2012[37-41],English or Dutch origin
Kannur,gɾasə,ʁɛɫvɐ,gɾa'sə,ˈʁɛɫvɐ,2,2,CCVCV,CVCCV,sə,vɐ,2,2,,,grass,Clements2012[37-41],English or Dutch origin
Kannur,ʋɛɾdi,veɾdɨ,ʋɛɾ'di,ˈveɾdɨ,2,2,CVCCV,CVCCV,ʋɛɾ,veɾ,1,1,,verde,green,Clements2012[37-41],
Kannur,ʋɛɾdi,veɾdɨ,ʋɛɾ'di,ˈveɾdɨ,2,2,CVCCV,CVCCV,di,dɨ,2,2,,verde,green,Clements2012[37-41],
Kannur,tɾipə,tɾipɐ,tɾi'pə,ˈtɾipɐ,2,2,CCVCV,CCVCV,tɾi,tɾi,1,1,,tripa,guts,Clements2012[37-41],
Kannur,tɾipə,tɾipɐ,tɾi'pə,ˈtɾipɐ,2,2,CCVCV,CCVCV,pə,pɐ,2,2,,tripa,guts,Clements2012[37-41],
Kannur,kabeli,kɐbelu,ka'be'li,kɐˈbe'lu,3,3,CVCVCV,CVCVCV,ka,kɐ,1,1,,cabelo,hair,Clements2012[37-41],
Kannur,kabeli,kɐbelu,ka'be'li,kɐˈbe'lu,3,3,CVCVCV,CVCVCV,be,be,2,2,,cabelo,hair,Clements2012[37-41],
Kannur,kabeli,kɐbelu,ka'be'li,kɐˈbe'lu,3,3,CVCVCV,CVCVCV,li,lu,3,3,,cabelo,hair,Clements2012[37-41],
Kannur,mɔ̃,mɐ̃w̃,mɔ̃,ˈmɐ̃w̃,1,,CṼ,CVṼ,mɔ̃,ˈmɐ̃w̃,1,1,,mão,hand,Clements2012[37-41],
Kannur,eli,eɫɨ,e'li,ˈeɫɨ,2,2,VCV,VCV,e,e,1,1,,ele,he,Clements2012[37-41],
Kannur,eli,eɫɨ,e'li,ˈeɫɨ,2,2,VCV,VCV,li,ɫɨ,2,2,,ele,he,Clements2012[37-41],
Kannur,kabesə,kɐbesɐ,ka'be'sə,kɐˈbe'sɐ,3,3,CVCVCV,CVCVCV,ka,kɐ,1,1,,cabeça,head,Clements2012[37-41],
Kannur,kabesə,kɐbesɐ,ka'be'sə,kɐˈbe'sɐ,3,3,CVCVCV,CVCVCV,be,be,2,2,,cabeça,head,Clements2012[37-41],
Kannur,kabesə,kɐbesɐ,ka'be'sə,kɐˈbe'sɐ,3,3,CVCVCV,CVCVCV,sə,sɐ,3,3,,cabeça,head,Clements2012[37-41],
Kannur,oí,oviɾ,o'í,oˈviɾ,2,2,VV,VCVC,o,o,1,1,Apocope,ouvir,hear,Clements2012[37-41],
